ID;genre;situation_academique;domaine_etude;a_deja_vecu_kot;region_domicile;intention_erasmus;facteur_budget;facteur_barriere_langue;facteur_loin_famille;facteur_relation_amoureuse;facteur_climat;facteur_culture;facteur_alimentation;facteur_confort;facteur_craintes_sociales;facteur_organisation;classement_zone_preferee;destination_ideale_en_tete;destination_ideale;lien_destination;importance_culture_locale;importance_langue_locale;importance_prestige_universites;importance_offre_universites;importance_distance_origine;importance_politique_pays;importance_cout_vie;importance_richesse_pays;importance_climat_destination;importance_agencement_villes;importance_impact_climatique_trajet;importance_subside;importance_aide_topup_ecoresponsable;importance_securite
147;Femme;Doctorat;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Amérique latine;Scandinavie (Pays du nord de l'Europe);Océanie;Asie de l'Est;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Europe de l'Est;Europe occidentale;Afrique du Nord;Afrique Sub-Saharienne;";Oui;Argentine ;Non;Très fort;Modérément;Peu;Peu;Fort;Très peu;Peu;Très peu;Modérément;Très peu;Peu;Modérément;Très peu;Peu
148;Femme;Master ;Droit;Oui;Rurale;Oui;;;;;;;;;;;"Amérique latine;Océanie;Scandinavie (Pays du nord de l'Europe);Europe occidentale;Europe de l'Est;Afrique Sub-Saharienne;Afrique du Nord;Amérique du Nord (US et Canada);Asie (centrale/ du Sud);Asie de l'Est;";Non;;;Modérément;Très fort;Très peu;Peu;Modérément;Peu;Fort;Très peu;Modérément;Modérément;Peu;Fort;Peu;Fort
149;Homme;Master ;Sciences;Oui;Rurale;Oui;;;;;;;;;;;"Amérique latine;Amérique du Nord (US et Canada);Europe occidentale;Océanie;Asie (centrale/ du Sud);Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Afrique du Nord;Afrique Sub-Saharienne;";Oui;Rio;Non;Fort;Modérément;Modérément;Modérément;Peu;Modérément;Fort;Fort;Très fort;Modérément;Peu;Modérément;Modérément;Fort
151;Homme;Bac;Sciences;Non;Urbaine;Oui;;;;;;;;;;;"Amérique du Nord (US et Canada);Europe occidentale;Europe de l'Est;Scandinavie (Pays du nord de l'Europe);Océanie;Asie (centrale/ du Sud);Asie de l'Est;Amérique latine;Afrique Sub-Saharienne;Afrique du Nord;";Oui;Canada;Oui;Peu;Peu;Fort;Modérément;Modérément;Très peu;Fort;Modérément;Très peu;Modérément;Modérément;Modérément;Modérément;Modérément
152;Femme;Master ;Sciences de la santé (Medecine / dentisterie / kinésitérapeute / ...);Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique latine;Asie de l'Est;Océanie;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Europe occidentale;Afrique Sub-Saharienne;Afrique du Nord;Asie (centrale/ du Sud);";Oui;Chili;Oui;Fort;Très fort;Modérément;Fort;Peu;Modérément;Modérément;Modérément;Fort;Très peu;Modérément;Modérément;Modérément;Très fort
153;Femme;Master ;Philosophie, arts et lettres;Oui;Rurale;Oui;;;;;;;;;;;"Asie de l'Est;Scandinavie (Pays du nord de l'Europe);Asie (centrale/ du Sud);Amérique latine;Europe de l'Est;Afrique Sub-Saharienne;Océanie;Afrique du Nord;Europe occidentale;Amérique du Nord (US et Canada);";Non;;;Très fort;Très fort;Modérément;Très peu;Très peu;Fort;Fort;Très peu;Modérément;Très peu;Peu;Très fort;Peu;Très fort
154;Homme;Master ;Droit;Oui;Urbaine;Oui;;;;;;;;;;;"Amérique du Nord (US et Canada);Europe de l'Est;Europe occidentale;Asie (centrale/ du Sud);Asie de l'Est;Océanie;Afrique du Nord;Amérique latine;Scandinavie (Pays du nord de l'Europe);Afrique Sub-Saharienne;";Oui;Chili;Oui;Fort;Très fort;Très peu;Très peu;Très peu;Modérément;Modérément;Modérément;Fort;Très peu;Peu;Peu;Peu;Peu
155;Femme;Je ne suis plus aux études;Autre / Je ne suis pas concerné;Oui;Rurale;Oui;;;;;;;;;;;"Asie (centrale/ du Sud);Amérique latine;Asie de l'Est;Océanie;Amérique du Nord (US et Canada);Scandinavie (Pays du nord de l'Europe);Afrique Sub-Saharienne;Afrique du Nord;Europe de l'Est;Europe occidentale;";Non;;;Fort;Modérément;Peu;Peu;Peu;Fort;Fort;Peu;Fort;Fort;Peu;Fort;Peu;Fort
156;Homme;Bac;Sciences;Oui;Périurbaine;Oui;;;;;;;;;;;"Scandinavie (Pays du nord de l'Europe);Europe de l'Est;Amérique du Nord (US et Canada);Amérique latine;Asie (centrale/ du Sud);Océanie;Asie de l'Est;Afrique du Nord;Afrique Sub-Saharienne;Europe occidentale;";Oui;Norvège;Oui;Très fort;Modérément;Peu;Fort;Très peu;Très fort;Très peu;Très peu;Très peu;Très peu;Peu;Très peu;Très peu;Très fort
157;Femme;Master ;Sciences politiques, sociales, économiques, de communication;Oui;Périurbaine;Oui;;;;;;;;;;;"Amérique latine;Asie de l'Est;Asie (centrale/ du Sud);Océanie;Scandinavie (Pays du nord de l'Europe);Afrique du Nord;Afrique Sub-Saharienne;Europe de l'Est;Europe occidentale;Amérique du Nord (US et Canada);";Oui;Brésil;Oui;Très fort;Modérément;Très peu;Peu;Très peu;Modérément;Modérément;Modérément;Fort;Modérément;Très peu;Très peu;Peu;Modérément
